Datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
01/01/16 00:51,5.6,42.1,-3.9,25,51,7.4,4.6,-9999,-9999,0,Variable,16.1,10,1017.9,30.06,4,39.2,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 01:51,5,41,-3.9,25,53,5.6,3.5,-9999,-9999,0,Variable,16.1,10,1017.8,30.06,3.9,39,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 02:51,5,41,-3.3,26.1,55,7.4,4.6,-9999,-9999,280,West,16.1,10,1017.7,30.06,3.3,38,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 03:51,5,41,-3.3,26.1,55,14.8,9.2,-9999,-9999,280,West,16.1,10,1017.7,30.06,1.8,35.2,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 04:51,4.4,39.9,-3.3,26.1,58,16.7,10.4,25.9,16.1,270,West,16.1,10,1017,30.04,0.8,33.4,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 05:51,4.4,39.9,-3.3,26.1,58,11.1,6.9,-9999,-9999,290,WNW,16.1,10,1017.5,30.05,1.7,35.1,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 06:51,3.9,39,-3.3,26.1,60,0,0,-9999,-9999,0,North,16.1,10,1017.7,30.06,-999,-999,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 07:51,3.9,39,-3.9,25,57,11.1,6.9,-9999,-9999,280,West,16.1,10,1017.6,30.05,1.1,34,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 08:51,3.9,39,-4.4,24.1,55,11.1,6.9,-9999,-9999,260,West,16.1,10,1018,30.06,1.1,34,-9999,-9999,-9999,-9999,Partly Cloudy,partlycloudy,0,0,0,0,0,0
01/01/16 09:51,4.4,39.9,-3.9,25,55,7.4,4.6,-9999,-9999,290,WNW,16.1,10,1018,30.06,2.6,36.7,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 10:51,4.4,39.9,-4.4,24.1,53,9.3,5.8,31.5,19.6,0,Variable,16.1,10,1017.4,30.05,2.1,35.8,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 11:51,4.4,39.9,-5,23,51,14.8,9.2,-9999,-9999,270,West,16.1,10,1016.4,30.02,1.1,33.9,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 12:51,4.4,39.9,-5,23,51,22.2,13.8,31.5,19.6,280,West,16.1,10,1015.4,29.99,0.1,32.1,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 13:51,4.4,39.9,-5,23,51,11.1,6.9,35.2,21.9,0,Variable,16.1,10,1014.9,29.97,1.7,35.1,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 14:51,3.9,39,-6.1,21,49,18.5,11.5,42.6,26.5,290,WNW,16.1,10,1015,29.98,-0.1,31.8,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 15:51,3.9,39,-6.7,19.9,46,-9999,-9999,-9999,-9999,0,North,16.1,10,1014.9,29.97,-999,-999,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
01/01/16 16:51,3.3,37.9,-6.7,19.9,48,18.5,11.5,29.6,18.4,280,West,16.1,10,1014.8,29.97,-0.9,30.5,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
01/01/16 17:51,3.3,37.9,-6.7,19.9,48,13,8.1,31.5,19.6,300,WNW,16.1,10,1015.3,29.99,0,32.1,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
01/01/16 18:51,2.8,37,-6.7,19.9,50,20.4,12.7,29.6,18.4,290,WNW,16.1,10,1015.9,30,-1.7,28.9,-9999,-9999,-9999,-9999,Partly Cloudy,partlycloudy,0,0,0,0,0,0
01/01/16 19:51,2.8,37,-7.2,19,48,14.8,9.2,25.9,16.1,280,West,16.1,10,1016.5,30.02,-0.9,30.4,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
01/01/16 20:51,2.2,36,-7.2,19,50,11.1,6.9,-9999,-9999,290,WNW,16.1,10,1016.8,30.03,-0.9,30.3,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
01/01/16 21:51,1.7,35.1,-6.7,19.9,54,-9999,-9999,-9999,-9999,0,North,16.1,10,1016.6,30.02,-999,-999,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
01/01/16 22:51,1.7,35.1,-7.2,19,52,9.3,5.8,-9999,-9999,0,Variable,16.1,10,1016.7,30.03,-1.1,30.1,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
01/01/16 23:51,1.7,35.1,-8.9,16,46,14.8,9.2,31.5,19.6,270,West,16.1,10,1016.8,30.03,-2.3,27.9,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
02/01/16 00:51,1.1,34,-9.4,15.1,46,9.3,5.8,29.6,18.4,0,Variable,16.1,10,1016.6,30.02,-1.8,28.8,-9999,-9999,-9999,-9999,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
02/01/16 01:51,1.1,34,-8.9,16,48,13,8.1,25.9,16.1,270,West,16.1,10,1016.6,30.02,-2.6,27.2,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
02/01/16 02:51,1.1,34,-8.3,17.1,50,13,8.1,-9999,-9999,290,WNW,16.1,10,1017.3,30.04,-2.6,27.2,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
02/01/16 03:51,1.1,34,-8.3,17.1,50,22.2,13.8,33.3,20.7,280,West,16.1,10,1016.9,30.03,-4.1,24.6,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
02/01/16 04:51,0.6,33.1,-7.8,18,54,16.7,10.4,25.9,16.1,280,West,16.1,10,1017.1,30.04,-3.9,24.9,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
02/01/16 05:51,0.6,33.1,-7.8,18,54,14.8,9.2,-9999,-9999,270,West,16.1,10,1017.4,30.05,-3.6,25.5,-9999,-9999,-9999,-9999,Clear,clear,0,0,0,0,0,0
02/01/16 06:51,0.6,33.1,-7.8,18,54,0,0,-9999,-9999,0,North,16.1,10,1017.9,30.06,-999,-999,-9999,-9999,-9999,-9999,Scattered Clouds,partlycloudy,0,0,0,0,0,0
02/01/16 07:51,1.1,34,-7.8,18,52,7.4,4.6,-9999,-9999,270,West,16.1,10,1018.3,30.07,-1.2,29.8,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
02/01/16 08:51,1.1,34,-8.3,17.1,50,11.1,6.9,-9999,-9999,260,West,16.1,10,1018.8,30.09,-2.2,28,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
02/01/16 09:51,1.7,35.1,-8.3,17.1,48,9.3,5.8,-9999,-9999,0,Variable,16.1,10,1019.2,30.1,-1.1,30.1,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
02/01/16 10:51,2.8,37,-7.8,18,46,9.3,5.8,-9999,-9999,0,Variable,16.1,10,1018.5,30.08,0.2,32.4,-9999,-9999,-9999,-9999,Overcast,cloudy,0,0,0,0,0,0
02/01/16 11:51,2.8,37,-8.3,17.1,44,7.4,4.6,25.9,16.1,0,Variable,16.1,10,1017.5,30.05,0.7,33.3,-9999,-9999,-9999,-9999,Scattered Clouds,partlycloudy,0,0,0,0,0,0
